"sample_id"	"TP53"	"TTN"	"FAT1"
TCGA-CV-7104-01A-11D	1	0	0
TCGA-CV-7180-01A-11D	1	0	0
TCGA-CV-7243-01A-11D	1	0	0
TCGA-CV-7253-01A-11D	1	0	0
TCGA-CV-7416-01A-11D	1	0	0
TCGA-CV-7434-01A-11D	1	0	0
TCGA-CV-7438-01A-21D	1	0	0
TCGA-CV-A45P-01A-11D	1	0	0
TCGA-CV-A45R-01A-11D	1	0	0
TCGA-CV-A45U-01A-12D	1	0	0
TCGA-CV-A464-01A-11D	1	0	0
TCGA-CV-A465-01A-11D	1	0	0
TCGA-CV-A6JN-01A-11D	1	0	0
TCGA-CV-A6JY-01A-11D	1	0	0
TCGA-D6-6515-01A-21D	1	0	0
TCGA-D6-6825-01A-21D	1	0	0
TCGA-D6-8569-01A-11D	1	0	0
TCGA-DQ-7588-01A-11D	1	0	0
TCGA-F7-A50G-01A-11D	1	0	0
TCGA-F7-A61W-01A-11D	1	0	0
TCGA-H7-A6C4-01A-11D	1	0	0
TCGA-HD-7831-01A-11D	1	0	0
TCGA-HD-8634-01A-11D	1	0	0
TCGA-HD-8635-01A-11D	1	0	0
TCGA-IQ-A61J-01A-11D	1	0	0
TCGA-IQ-A61K-01A-11D	1	0	0
TCGA-IQ-A61L-01A-11D	1	0	0
TCGA-IQ-A6SG-01A-12D	1	0	0
TCGA-P3-A5QA-01A-11D	1	0	0
TCGA-P3-A6T2-01A-11D	1	0	0
TCGA-QK-A652-01A-11D	1	0	0
TCGA-QK-A6IG-01A-11D	1	0	0
TCGA-QK-AA3K-01A-11D	1	0	0
TCGA-UF-A7JS-01A-11D	1	0	0
TCGA-CQ-5327-01A-01D	0	1	1
TCGA-CR-7395-01A-11D	0	1	1
TCGA-CV-6441-01A-11D	0	1	1
TCGA-CV-6938-01A-11D	0	1	1
TCGA-H7-7774-01A-21D	0	1	1
TCGA-CN-4734-01A-01D	0	1	0
TCGA-CN-A63V-01A-11D	0	1	0
TCGA-CQ-5325-01A-01D	0	1	0
TCGA-CQ-7071-01A-12D	0	1	0
TCGA-CR-6471-01A-11D	0	1	0
TCGA-CR-7391-01A-11D	0	1	0
